[2026-02-06 09:45:32] - Mover SOP-PC05 -> OU=Soporte,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK
[2026-02-06 09:45:32] - Comprobar OU OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Crear OU OU=Finanzas,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (creada)
[2026-02-06 09:45:32] - Mover FIN-PC01 -> OU=Finanzas,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK
[2026-02-06 09:45:32] - Comprobar OU OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Finanzas,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Mover FIN-PC02 -> OU=Finanzas,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK
[2026-02-06 09:45:32] - Comprobar OU OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Finanzas,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Mover FIN-PC03 -> OU=Finanzas,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK
[2026-02-06 09:45:32] - Comprobar OU OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Finanzas,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Mover FIN-PC04 -> OU=Finanzas,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK
[2026-02-06 09:45:32] - Comprobar OU OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Finanzas,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Mover FIN-PC05 -> OU=Finanzas,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK
[2026-02-06 09:45:32] - Fin ejecución - OK
